Thrust,airspeed,RPM,Torque
0.595521629496,0,1000,0.114888759183673
0.587074514184,0.134111777696317,1000,0.114888759183673
0.578627398872,0.268223555392635,1000,0.115838253061224
0.565956725904,0.447039258987724,1000,0.116787746938775
0.557509610592,0.581151036684042,1000,0.116787746938775
0.544838937624,0.715262814380359,1000,0.117737240816327
0.532168264656,0.849374592076676,1000,0.117737240816327
0.519497591688,1.02819029567177,1000,0.117737240816327
0.502603361064,1.16230207336808,1000,0.117737240816327
0.489932688096,1.2964138510644,1000,0.117737240816327
0.473038457472,1.43052562876072,1000,0.116787746938775
0.451920669192,1.60934133235581,1000,0.115838253061224
0.435026438568,1.74345311005212,1000,0.114888759183673
0.413908650288,1.87756488774844,1000,0.113939265306122
0.392790862008,2.01167666544476,1000,0.11204027755102
0.371673073728,2.19049236903985,1000,0.109191795918367
0.346331727792,2.32460414673617,1000,0.106343314285714
0.325213939512,2.45871592443248,1000,0.103494832653061
0.299872593576,2.5928277021288,1000,0.0996968571428571
0.27453124764,2.77164340572389,1000,0.094949387755102
0.249189901704,2.90575518342021,1000,0.0892524244897959
0.223848555768,3.03986696111652,1000,0.0835554612244898
0.198507209832,3.17397873881284,1000,0.0778584979591837
0.173165863896,3.35279444240793,1000,0.0702625469387755
0.143600960304,3.48690622010425,1000,0.0617171020408163
0.114036056712,3.62101799780057,1000,0.0541211510204082
0.088694710776,3.75512977549688,1000,0.044626212244898
0.059129807184,3.93394547909197,1000,0.0351312734693877
0.029564903592,4.06805725678829,1000,0.0256363346938775
0,4.20216903448461,1000,0.0170908897959184
2.38631007564,0,2000,0.458605542857143
2.352521614392,0.268223555392635,2000,0.462403518367347
2.314509595488,0.581151036684042,2000,0.465252
2.276497576584,0.849374592076676,2000,0.468100481632653
2.234262000024,1.16230207336808,2000,0.469999469387755
2.183579308152,1.43052562876072,2000,0.470948963265306
2.13289661628,1.74345311005212,2000,0.471898457142857
2.077990366752,2.01167666544476,2000,0.472847951020408
2.018860559568,2.32460414673617,2000,0.471898457142857
1.955507194728,2.5928277021288,2000,0.470948963265306
1.887930272232,2.90575518342021,2000,0.469049975510204
1.81612979208,3.17397873881284,2000,0.466201493877551
1.740105754272,3.48690622010425,2000,0.461454024489796
1.659858158808,3.75512977549688,2000,0.454807567346939
1.575387005688,4.06805725678829,2000,0.447211616326531
1.486692294912,4.33628081218093,2000,0.43771667755102
1.397997584136,4.64920829347233,2000,0.427272244897959
1.300855758048,4.91743184886497,2000,0.413979330612245
1.20371393196,5.23035933015637,2000,0.397837934693878
1.106572105872,5.49858288554901,2000,0.379797551020408
1.005206722128,5.81151036684042,2000,0.359858179591837
0.899617780728,6.07973392223305,2000,0.336120832653061
0.794028839328,6.39266140352446,2000,0.310484497959184
0.688439897928,6.66088495891709,2000,0.281050187755102
0.578627398872,6.9738124402085,2000,0.248767395918367
0.46459134216,7.24203599560113,2000,0.215535110204082
0.350555285448,7.55496347689254,2000,0.179454342857143
0.236519228736,7.82318703228517,2000,0.141474587755102
0.118259614368,8.13611451357658,2000,0.103494832653061
0,8.40433806896922,2000,0.0693130530612245
5.372365338432,0,3000,1.03115035102041
5.296341300624,0.447039258987724,3000,1.03874630204082
5.211870147504,0.849374592076676,3000,1.04539275918367
5.123175436728,1.2964138510644,3000,1.05108972244898
5.02603361064,1.74345311005212,3000,1.05583719183673
4.916221111584,2.19049236903985,3000,1.05963516734694
4.802185054872,2.5928277021288,3000,1.06153415510204
4.675478325192,3.03986696111652,3000,1.06248364897959
4.544548037856,3.48690622010425,3000,1.06153415510204
4.400947077552,3.93394547909197,3000,1.05868567346939
4.253122559592,4.33628081218093,3000,1.05393820408163
4.092627368664,4.78332007116865,3000,1.04729174693878
3.923685062424,5.23035933015637,3000,1.03684731428571
3.742072083216,5.6773985891441,3000,1.0235544
3.552011988696,6.07973392223305,3000,1.00646351020408
3.353504778864,6.52677318122077,3000,0.984625151020408
3.14655045372,6.9738124402085,3000,0.958988816326531
2.93537257092,7.37614777329745,3000,0.929554506122449
2.719971130464,7.82318703228517,3000,0.894423232653061
2.496122574696,8.2702262912729,3000,0.854544489795918
2.268050461272,8.71726555026062,3000,0.808019289795918
2.035754790192,9.11960088334957,3000,0.755797126530612
1.7950120038,9.5666401423373,3000,0.696928506122449
1.550045659752,10.013679401325,3000,0.630463934693878
1.300855758048,10.4607186603127,3000,0.5583024
1.047442298688,10.8630539934017,3000,0.482342889795918
0.789805281672,11.3100932523894,3000,0.401635910204082
0.527944707,11.7571325113771,3000,0.317130955102041
0.266084132328,12.2041717703649,3000,0.231676506122449
0,12.6065071034538,3000,0.152868514285714
9.574805206152,0,4000,1.7698565877551
9.443874918816,0.581151036684042,4000,1.78694747755102
9.296050400856,1.16230207336808,4000,1.80308887346939
9.135555209928,1.74345311005212,4000,1.81733128163265
8.962389346032,2.32460414673617,4000,1.82872520816327
8.772329251512,2.90575518342021,4000,1.83727065306122
8.565374926368,3.48690622010425,4000,1.84201812244898
8.345749928256,4.06805725678829,4000,1.84391711020408
8.10923069952,4.64920829347233,4000,1.84296761632653
7.860040797816,5.23035933015637,4000,1.83727065306122
7.589733107832,5.81151036684042,4000,1.82777571428571
7.302531187224,6.39266140352446,4000,1.8125838122449
7.002658593648,6.9738124402085,4000,1.79169494693878
6.681668211792,7.55496347689254,4000,1.7641596244898
6.343783599312,8.13611451357658,4000,1.72997784489796
5.984781198552,8.71726555026062,4000,1.68914960816327
5.61733168248,9.29841658694466,4000,1.63977592653061
5.23721149344,9.83486369772993,4000,1.5837557877551
