thrust,airspeed,RPM
27.09834592,6.079733922,7000
26.38034112,7.107924218,7000
25.60743007,8.136114514,7000
24.78383633,9.119600883,7000
23.90533633,10.14779118,7000
22.97615365,11.17598147,7000
21.99206471,12.15946784,7000
20.96151665,13.18765814,7000
19.87606233,14.21584844,7000
18.73992532,15.19933481,7000
17.57422341,16.2275251,7000
16.37895659,17.2557154,7000
15.15834843,18.28390569,7000
13.9039518,19.26739206,7000
12.62421383,20.29558236,7000
11.32335808,21.32377265,7000
9.992937414,22.30725902,7000
8.628728291,23.33544932,7000
7.24340138,24.36363961,7000
5.836956681,25.34712598,7000
4.405170635,26.37531628,7000
2.964937475,27.40350658,7000
1.486692295,28.43169687,7000
0,29.41518324,7000
0,0,0
40.39410542,0,8000
39.82392514,1.162302073,8000
39.17772082,2.324604147,8000
38.47661025,3.48690622,8000
37.71214631,4.649208293,8000
36.88010545,5.811510367,8000
35.97626411,6.97381244,8000
35.00484585,8.136114514,8000
33.96585067,9.298416587,8000
32.85505501,10.41601473,8000
31.67668242,11.57831681,8000
30.42650935,12.74061888,8000
29.10875937,13.90292095,8000
27.72343245,15.06522303,8000
26.27897574,16.2275251,8000
24.77116565,17.38982717,8000
23.22534355,18.55212925,8000
21.64995654,19.71443132,8000
20.04078108,20.87673339,8000
18.38514648,22.03903547,8000
16.69149986,23.20133754,8000
14.96406478,24.36363961,8000
13.20284123,25.52594169,8000
11.40360567,26.68824376,8000
9.566358091,27.85054583,8000
7.703769165,29.01284791,8000
5.811615335,30.13044606,8000
3.851884582,31.29274813,8000
1.96395431,32.4550502,8000
0,33.61735228,8000
0,0,0
52.19050196,0,9000
51.45560292,1.296413851,9000
50.61089139,2.592827702,9000
49.69015582,3.889241553,9000
48.68917266,5.23035933,9000
47.59949478,6.526773181,9000
46.4211222,7.823187032,9000
45.14983134,9.119600883,9000
43.78984578,10.41601473,9000
42.34538906,11.71242859,9000
40.80801407,13.00884244,9000
39.18194437,14.30525629,9000
37.47140352,15.64637406,9000
35.67639152,16.94278792,9000
33.80535548,18.23920177,9000
31.86674251,19.53561562,9000
29.87744686,20.83202947,9000
27.85436274,22.12844332,9000
25.78481949,23.42485717,9000
23.6688171,24.76597495,9000
21.51057914,26.0623888,9000
19.30588205,27.35880265,9000
17.05050226,28.6552165,9000
14.73599266,29.95163035,9000
12.39191816,31.2480442,9000
9.997160972,32.54445805,9000
7.555944647,33.84087191,9000
5.072492745,35.18198968,9000
2.555252382,36.47840353,9000
0,37.77481738,9000
0,0,0
65.73545136,0,10000
64.86962204,1.430525629,10000
63.80950907,2.905755183,10000
62.61846581,4.336280812,10000
61.3429514,5.811510367,10000
59.95762448,7.242035996,10000
58.45826152,8.672561624,10000
56.84486249,10.14779118,10000
55.12165097,11.57831681,10000
53.28440339,13.00884244,10000
51.33311975,14.48407199,10000
49.27624717,15.91459762,10000
47.11378565,17.38982717,10000
44.84573519,18.8203528,10000
42.49321358,20.25087843,10000
40.04777369,21.72610799,10000
37.55587468,23.15663362,10000
35.02174008,24.58715924,10000
32.43269924,26.0623888,10000
29.77185792,27.49291443,10000
27.04343967,28.96814398,10000
24.26011518,30.39866961,10000
21.41766087,31.82919524,10000
18.50762965,33.30442479,10000
15.54691573,34.73495042,10000
12.53974268,36.16547605,10000
9.473439822,37.64070561,10000
6.364901388,39.07123124,10000
3.209903819,40.54646079,10000
0,41.97698642,10000
0,0,0
80.04908825,0,11000
79.55070845,1.609341332,11000
78.40612433,3.173978739,11000
77.0123503,4.783320071,11000
75.45385752,6.347957478,11000
73.79399937,7.95729881,11000
71.99054025,9.566640142,11000
70.04348017,11.13127755,11000
67.95704269,12.74061888,11000
65.7312278,14.34996021,11000
63.36603551,15.91459762,11000
60.86568938,17.52393895,11000
58.22596585,19.08857636,11000
55.44686491,20.69791769,11000
52.56639859,22.30725902,11000
49.57189621,23.87189643,11000
46.50136979,25.48123776,11000
43.37171357,27.09057909,11000
40.14491552,28.6552165,11000
36.85054055,30.26455783,11000
33.49703577,31.82919524,11000
30.06750695,33.43853657,11000
26.56617766,35.0478779,11000
22.98037721,36.61251531,11000
19.32277628,38.22185664,11000
15.60182198,39.78649405,11000
11.80906721,41.39583538,11000
7.944511951,43.00517671,11000
4.016603331,44.56981412,11000
0,46.17915545,11000
0,0,0
95.49041504,0,12000
95.26656649,1.74345311,12000
95.00470591,3.48690622,12000
94.07129967,5.23035933,12000
92.46634776,6.97381244,12000
90.43904009,8.71726555,12000
88.18788386,10.41601473,12000
85.76356176,12.15946784,12000
83.19986227,13.90292095,12000
80.44187912,15.64637406,12000
77.50650655,17.38982717,12000
